Name,Aliases,Root,Chord,Frets,Fingering,Also Derive From,When Derivative Source:,Order,Frets,Fingering,Comments
B Major,B,B,M,,,A E D ,,,,,
,,C,,,,Ab C# E,,,,,
,,C#,,,,G E C D,,,,,
,,D,,x x 0 4 4 2,x x 0 2 3 1,G Eb,,,,,
,,D#,,,,G C F,,,,,
,,E,,0 x 4 4 4 2,0 x 2 3 4 1,E G A C,,,,,
,,F,,,,A E,,,,,
,,F#,,,,A E G,,,,,
,,G,,,,Ab E,,,,,
,,Ab,,,,C D,,,,,
,,A,,x 0 4 4 4 2,x 0 2 3 4 1,G E C,,,,,
,,A#,,,,G E F Bb C,,,,,
B Minor,Bm,B,m,,,A E D,,,,,
,,C,,,,E Ab C#,,,,,
,,C#,,,,Ab E C# D,,,,,
,,D,,x x 0 4 3 2,x x 0 3 2 1,C# Ab E F#,,,,,
,,D#,,,,F C#,,,,,
,,E,,0 2 4 4 3 2 ,0 1 3 4 2 1,C# A E,,,,,
,,F,,,,E A C,,,,,
,,F#,,,,A E D,,,,,
,,G,,,,Ab F E C#,,,,,
,,G#,,,,Ab F C C#,,,,,
,,A,,x 0 4 4 3 2,x 0 3 4 2 1,Ab E C# F# C,,,,,
,,,,x 0 9 7 7 7,x 0 3 1 1 1,,,,,,
,,A#,,,,F E C,,,,,
B Diminished,Bdim,B,dim,,,Bb A D F,,,,,
B Augmented,Baug,B,aug,x 2 1 0 0 x,x 2 1 0 0 x,A E G,,,,,
B Maj7,Bmaj7,B,maj7,,,A E D C G,,,,,
,,C,,,,E Ab,,,,,
,,C#,,,,G E D Ab,,,,,
,,D,,,,G,,,,,
,,D#,,x x 1 3 0 2,x x 1 3 0 2,G F C,,,,,
,,E,,0 2 4 3 4 2,0 1 3 2 4 1,E,,,,,
,,F,,,,E,,,,,
,,F#,,,,A G E D C,,,,,
,,G,,,,D,,,,,
,,G#,,,,G Ab,,,,,
,,A,,x 0 4 4 4 6,x 0 1 1 1 3,G C,,,,,
,,A#,,,,E F G,,,,,
B Dominant 7th,B7,B,7,x 2 1 2 0 2,x 2 1 3 0 4,A E D G,,,,,
,,,,x 2 1 2 0 x,x 2 1 3 0 x,,,,,,
,,C,,,,Ab E,,,,,
,,C#,,,,G E D,,,,,
,,D,,,,G E,,,,,
,,D#,,x x 1 2 0 2,x x 1 2 0 3,G D,,,,,
,,E,,0 2 1 2 0 2,0 2 1 3 0 4,E,,,,,
,,,,0 x 1 2 0 2,0 x 1 2 0 3,,,,,,
,,,,0 x 4 4 4 5,0 x 1 1 1 2,,,,,,
,,,,0 2 4 2 4 5,0 1 2 1 3 4,,,,,,
,,F,,1 x 1 2 0 2,1 x 2 3 0 4,E,,,,,
,,F#,,2 x 1 2 0 2,2 x 1 3 0 4,A G E D,,,,,
,,,,2 x 1 2 0 x,2 x 1 3 0 x,,,,,,
,,G,,,,Ab E,,,,,
,,Ab,,,,A G,,,,,
,,A,,x 0 1 2 0 2,x 0 1 2 0 3,G E,,,,,
,,,,x 0 4 4 4 5,x 0 1 1 1 2,,,,,,
,,,,x 0 4 2 4 5,x 0 2 1 3 4,,,,,,
,,A#,,,,G,,,,,
B Minor 7th,Bm7,B,m7,x 2 0 2 3 2,x 1 0 2 4 3,A E D,,,,,
,,,,x 2 0 2 0 2,x 2 0 2 0 3,,,,,,
,,C,,x 3 0 2 0 2,x 3 0 1 0 2,E A Ab,,,,,
,,C#,,,,E D,,,,,
,,D,,x x 0 2 0 2,x x 0 2 0 3,F#,,,,,
,,Eb,,,,F,,,,,
,,E,,0 2 0 2 0 2,0 1 0 2 0 3,A E,,,,,
,,F,,1 2 0 2 0 2,1 2 0 3 0 4,E Ab,,,,,
,,F#,,2 2 0 2 0 2,1 2 0 3 0 4,A E D,,,,,
,,,,2 2 0 2 0 x,1 2 0 3 0 x,,,,,,
,,G,,3 2 0 2 0 x,3 1 0 2 0 x,A E,,,,,
,,Ab,,,,A,,,,,
,,A,,x 0 0 2 0 2,x 0 0 1 0 2,A F# E,,,,x 1 1 3 1 4,
,,A#,,x 1 0 2 0 2,x 1 0 2 0 3,F,,,,,
B Half-Diminshed,Bm7b5,B,m7b5,x 2 0 2 0 1,x 2 0 3 0 1,A F D ,,,,,
B Add 9,Badd9,B,add9,,,E A C,,,,,
B Sus 2,Bsus2,B,sus2,,,A D,,,,,
B Add 4,Badd4,B,add4,7 9 9 8 0 0,1 3 4 2 0 0,A E G,,,,,
B Sus4,Bsus4,B,sus4,,,A E D,,,,,
B 5 (Power Chord),B5,B,5,,,A E D,,,,,
B 6,B6,B,6,x 2 1 1 0 2,x 3 1 2 0 4,A E F D B G,,,,,
,,,,x 2 1 1 0 x,x 3 1 2 0 x,,,,,,
B Minor add 9,Bmadd9,B,madd9,,,E,,,,,
B Minor add 4,Bmadd4,B,madd4,x 2 4 4 3 0,x 1 3 4 2 0 ,A E,,,,,
B Minor 6,Bm6,B,m6,x 2 0 1 0 2,x 2 0 1 0 3,E F D,,,,,
B Major 9,Bmaj9,B,maj9,,,Bb E,,,,,
B Major 11,Bmaj11,B,maj11,x 2 4 3 4 0,x 1 3 2 4 0,A E,,,,,
B Major 13,Bmaj13,B,maj13,,,E F,,,,,
B Major #11,Bmaj#11,B,maj#11,,,A E,,,,,
B Minor 9,"Bm9, Bm7/9",B,"m9, m7/9",x 2 0 2 2 x,x 1 0 2 3 x,E,,,,,
B Minor 11,Bm11,B,m11,x 2 0 2 3 0,x 1 0 2 3 0,A E F# ,,,,,
B Minor 13,Bm13,B,m13,,,A E,,,,,
B Minor flat 9,Bm7(b9),B,m7(b9),,,E F#,,,,,
B Minor flat 13,Bm(b13),B,m(b13),,,A E,,,,,
B Minor sharp 11,Bm(#11),B,m(#11),,,A E,,,,,
B Minor Major 7th,Bm(maj7),B,m(maj7),,,A E D C F,,,,,
B Dominant 7/9,"B9, B7/9",B,"9, 7/9",,,Bb E Eb F,,,,,
B Dominant 7sus2,B7sus2,B,7sus2,,,A D,,,,,
B Dominant 7/11,B7sus4,B,7sus4,x 2 2 2 0 0,x 1 2 3 0 0,A E D,,,,,
,,,,x 2 2 2 0 2,x 1 2 3 0 4,,,,,,
B Dominant 11th,B11,B,11,x 2 1 2 0 0,x 2 1 3 0 0,A,,,,,
B Dominant 7/13,B13,B,13,,,A E Bb,,,,,
B Dominant 7/9b,B7b9,B,7b9,,,E Bb Eb,,,,,
,,,,,,E A,,,,,
B Dominant 7/11#,B(#11),B,#11,,,A E,,,,,
B Dominant 7/b5,B7b5,B,7b5,x 2 1 2 0 1,x 3 1 4 0 2,A E F D,,,,,
B Augmented 7,Baug7,B,aug7,,,E A D,,,,,
B add6 add9,B6/9,B,6/9,,,Bb Eb F G,,,,,
B Minor add6 add9,Bm6/9,B,m6/9,x 2 0 1 2 x,x 2 0 1 3 x,,,,,,
B Major 7 13/9,Bmaj13/9,B,maj13/9,,,A E F,,,,,
B Dominant 7 13/9,B13/9,B,13/9,,,A E G Bb,,,,,
B Dominant 7 13/b9,B13/b9,B,13/b9,,,E G,,,,,
B Dominant 7#9,B7#9,B,7#9,,,Bb Eb,,,,,
