Name,Aliases,Root,Chord,Frets,Fingering,Also Derive From,When Derivative Source:,Order,Frets,Fingering,Comments
,,E,,0 0 0 2 1 1,0 0 0 2 1 1,E D,,,,,
,,F,,1 0 0 2 1 1,1 0 0 4 2 3,D F#,,,,,
,,F#,,2 0 0 2 1 1,3 0 0 4 1 2,F,,,,,
,,G,,3 0 0 2 1 1,3 0 0 2 1 1,A B E,,,,,
,,G#,,4 0 0 2 1 1,4 0 0 2 1 1,E Ab,,,,,
,,A,,x 0 0 2 1 1,x 0 0 2 1 1,B A E,,,,,
,,Bb,,x 1 0 2 1 1,x 1 0 4 2 3,A E,,,,,
,,B,,x 2 0 2 1 1,x 2 0 4 1 2,A,,,,,
,,C,,x 3 0 2 1 1,x 3 0 2 1 1,B A F# E,,,,,
,,C#,,x 4 0 2 1 1,x 4 0 2 1 1,B F,,,,,
D Half-Diminshed,Dm7b5,D,m7b5,x x 0 1 1 1,x x 0 1 1 1,A F B,,,,x x 1 3 3 3,
D Add 9,Dadd9,D,add9,x 5 4 2 3 0,x 4 3 1 2 0,E C A,,,,,
D Sus 2,Dsus2,D,sus2,x x 0 2 3 0,x x 0 1 3 0,A D,,,,x x 1 3 4 1,
D Add 4,Dadd4,D,add4,x 5 4 0 3 5,x 3 2 0 1 4,A E G,,,,,
D Sus4,Dsus4,D,sus4,x x 0 2 3 3,x x 0 1 3 4,A E,,,,x x 1 2 3 4,
D 5 (Power Chord),D5,D,5,x x 0 2 3 x,x x 0 2 3 x,A E,,,,,
D 6,D6,D,6,x x 0 2 0 2,x x 0 2 0 3,A E B F G,,,,,
D Minor add 9,Dmadd9,D,madd9,x 5 3 2 3 0,x 4 2 1 3 0,E,,,,,
D Minor add 4,Dmadd4,D,madd4,,,A E,,,,,
D Minor 6,Dm6,D,m6,x x 0 2 0 1,x x 0 2 0 1,E B F,,,,,
D Major 9,Dmaj9,D,maj9,,,Bb E,,,,,
D Major 11,Dmaj11,D,maj11,,,A E,,,,,
D Major 13,Dmaj13,D,maj13,,,E,,,,,
D Major #11,Dmaj#11,D,maj#11,,,A E,,,,,
D Minor 9,"Dm9, Dm7/9",D,"m9, m7/9",x 5 3 5 5 x,,B E,,,,,
D Minor 11,Dm11,D,m11,,,B A E F# ,,,,,
